Measure;Time;val
Ongoing treatment periods at specialised medical care wards;2020-03-25;
Ongoing treatment periods primary health care wards;2020-03-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-25;60
Ongoing intensive care treatment periods;2020-03-25;22
Ongoing treatment periods at specialised medical care wards;2020-03-26;
Ongoing treatment periods primary health care wards;2020-03-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-26;60
Ongoing intensive care treatment periods;2020-03-26;22
Ongoing treatment periods at specialised medical care wards;2020-03-27;
Ongoing treatment periods primary health care wards;2020-03-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-27;76
Ongoing intensive care treatment periods;2020-03-27;32
Ongoing treatment periods at specialised medical care wards;2020-03-28;
Ongoing treatment periods primary health care wards;2020-03-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-28;81
Ongoing intensive care treatment periods;2020-03-28;31
Ongoing treatment periods at specialised medical care wards;2020-03-29;
Ongoing treatment periods primary health care wards;2020-03-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-29;93
Ongoing intensive care treatment periods;2020-03-29;41
Ongoing treatment periods at specialised medical care wards;2020-03-30;
Ongoing treatment periods primary health care wards;2020-03-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-30;94
Ongoing intensive care treatment periods;2020-03-30;49
Ongoing treatment periods at specialised medical care wards;2020-03-31;
Ongoing treatment periods primary health care wards;2020-03-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-31;81
Ongoing intensive care treatment periods;2020-03-31;56
Ongoing treatment periods at specialised medical care wards;2020-04-01;
Ongoing treatment periods primary health care wards;2020-04-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-01;97
Ongoing intensive care treatment periods;2020-04-01;62
Ongoing treatment periods at specialised medical care wards;2020-04-02;
Ongoing treatment periods primary health care wards;2020-04-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-02;95
Ongoing intensive care treatment periods;2020-04-02;65
Ongoing treatment periods at specialised medical care wards;2020-04-03;
Ongoing treatment periods primary health care wards;2020-04-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-03;108
Ongoing intensive care treatment periods;2020-04-03;72
Ongoing treatment periods at specialised medical care wards;2020-04-04;
Ongoing treatment periods primary health care wards;2020-04-04;
