Measure;Time;val
Ongoing treatment periods at specialised medical care wards;2020-03-25;
Ongoing treatment periods primary health care wards;2020-03-25;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-25;45
Ongoing intensive care treatment periods;2020-03-25;18
Ongoing treatment periods at specialised medical care wards;2020-03-26;
Ongoing treatment periods primary health care wards;2020-03-26;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-26;45
Ongoing intensive care treatment periods;2020-03-26;18
Ongoing treatment periods at specialised medical care wards;2020-03-27;
Ongoing treatment periods primary health care wards;2020-03-27;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-27;57
Ongoing intensive care treatment periods;2020-03-27;24
Ongoing treatment periods at specialised medical care wards;2020-03-28;
Ongoing treatment periods primary health care wards;2020-03-28;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-28;60
Ongoing intensive care treatment periods;2020-03-28;23
Ongoing treatment periods at specialised medical care wards;2020-03-29;
Ongoing treatment periods primary health care wards;2020-03-29;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-29;69
Ongoing intensive care treatment periods;2020-03-29;30
Ongoing treatment periods at specialised medical care wards;2020-03-30;
Ongoing treatment periods primary health care wards;2020-03-30;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-30;70
Ongoing intensive care treatment periods;2020-03-30;38
Ongoing treatment periods at specialised medical care wards;2020-03-31;
Ongoing treatment periods primary health care wards;2020-03-31;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-03-31;58
Ongoing intensive care treatment periods;2020-03-31;42
Ongoing treatment periods at specialised medical care wards;2020-04-01;
Ongoing treatment periods primary health care wards;2020-04-01;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-01;68
Ongoing intensive care treatment periods;2020-04-01;43
Ongoing treatment periods at specialised medical care wards;2020-04-02;
Ongoing treatment periods primary health care wards;2020-04-02;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-02;65
Ongoing intensive care treatment periods;2020-04-02;43
Ongoing treatment periods at specialised medical care wards;2020-04-03;
Ongoing treatment periods primary health care wards;2020-04-03;
Ongoing treatment periods at inpatient wards (until 7 Dec 2020);2020-04-03;72
Ongoing intensive care treatment periods;2020-04-03;45
Ongoing treatment periods at specialised medical care wards;2020-04-04;
Ongoing treatment periods primary health care wards;2020-04-04;
