"Area","Age","Total 2016 Population 31 Dec","Total 2017 Population 31 Dec","Total 2018 Population 31 Dec","Total 2019 Population 31 Dec","Total 2020 Population 31 Dec","Total 2021 Population 31 Dec","Males 2016 Population 31 Dec","Males 2017 Population 31 Dec","Males 2018 Population 31 Dec","Males 2019 Population 31 Dec","Males 2020 Population 31 Dec","Males 2021 Population 31 Dec","Females 2016 Population 31 Dec","Females 2017 Population 31 Dec","Females 2018 Population 31 Dec","Females 2019 Population 31 Dec","Females 2020 Population 31 Dec","Females 2021 Population 31 Dec"
"ER1 Helsinki University Hospital specific catchment area","0",21446,20561,19721,19152,19550,21098,11088,10550,10127,9761,10005,10739,10358,10011,9594,9391,9545,10359
"ER1 Helsinki University Hospital specific catchment area","1",22345,21677,20801,19948,19298,19579,11502,11206,10683,10253,9850,10031,10843,10471,10118,9695,9448,9548
"ER1 Helsinki University Hospital specific catchment area","2",23057,22492,21842,21047,20073,19343,11787,11559,11278,10810,10278,9881,11270,10933,10564,10237,9795,9462
"ER1 Helsinki University Hospital specific catchment area","3",23459,23213,22631,22013,21156,20155,12097,11868,11617,11369,10849,10298,11362,11345,11014,10644,10307,9857
"ER1 Helsinki University Hospital specific catchment area","4",23741,23678,23367,22819,22140,21194,12152,12228,11925,11682,11440,10862,11589,11450,11442,11137,10700,10332
"ER1 Helsinki University Hospital specific catchment area","5",23909,23879,23843,23481,22915,22176,12288,12241,12308,11969,11735,11451,11621,11638,11535,11512,11180,10725
"ER1 Helsinki University Hospital specific catchment area","6",24554,24081,24036,23937,23660,22962,12634,12385,12304,12357,12062,11755,11920,11696,11732,11580,11598,11207
"ER1 Helsinki University Hospital specific catchment area","7",24020,24726,24204,24208,24021,23710,12233,12723,12439,12401,12399,12075,11787,12003,11765,11807,11622,11635
"ER1 Helsinki University Hospital specific catchment area","8",23990,24207,24830,24348,24309,24057,12218,12323,12776,12518,12459,12412,11772,11884,12054,11830,11850,11645
"ER1 Helsinki University Hospital specific catchment area","9",23684,24175,24336,24982,24491,24410,12075,12309,12395,12846,12566,12526,11609,11866,11941,12136,11925,11884
"ER1 Helsinki University Hospital specific catchment area","10",23691,23859,24273,24469,25149,24573,12142,12146,12354,12450,12934,12600,11549,11713,11919,12019,12215,11973
"ER1 Helsinki University Hospital specific catchment area","11",23079,23824,23965,24427,24596,25221,11756,12198,12197,12446,12535,12953,11323,11626,11768,11981,12061,12268
"ER1 Helsinki University Hospital specific catchment area","12",23094,23190,23928,24065,24542,24707,11806,11813,12251,12248,12520,12599,11288,11377,11677,11817,12022,12108
"ER1 Helsinki University Hospital specific catchment area","13",22583,23238,23258,24088,24170,24641,11413,11881,11839,12336,12291,12575,11170,11357,11419,11752,11879,12066
"ER1 Helsinki University Hospital specific catchment area","14",22070,22723,23376,23345,24201,24303,11218,11487,11944,11892,12386,12356,10852,11236,11432,11453,11815,11947
"ER1 Helsinki University Hospital specific catchment area","15",22226,22193,22812,23478,23464,24308,11363,11271,11527,12004,11949,12421,10863,10922,11285,11474,11515,11887
"ER1 Helsinki University Hospital specific catchment area","16",22509,22435,22326,22982,23652,23595,11565,11461,11326,11590,12074,11998,10944,10974,11000,11392,11578,11597
"ER1 Helsinki University Hospital specific catchment area","17",22858,22696,22592,22443,23115,23783,11687,11660,11531,11375,11654,12139,11171,11036,11061,11068,11461,11644
"ER3 Turku University Hospital specific catchment area","0",8073,7756,7219,6912,7037,7565,4033,3936,3738,3590,3642,3803,4040,3820,3481,3322,3395,3762
"ER3 Turku University Hospital specific catchment area","1",8547,8117,7782,7257,6968,7100,4405,4049,3947,3757,3615,3681,4142,4068,3835,3500,3353,3419
"ER3 Turku University Hospital specific catchment area","2",8974,8628,8143,7825,7292,7050,4627,4458,4058,3976,3774,3661,4347,4170,4085,3849,3518,3389
"ER3 Turku University Hospital specific catchment area","3",8895,9005,8635,8183,7877,7343,4481,4641,4483,4078,4001,3790,4414,4364,4152,4105,3876,3553
"ER3 Turku University Hospital specific catchment area","4",9061,8929,9053,8646,8259,7941,4629,4491,4672,4489,4117,4036,4432,4438,4381,4157,4142,3905
"ER3 Turku University Hospital specific catchment area","5",9258,9108,8933,9052,8692,8327,4739,4649,4498,4677,4499,4150,4519,4459,4435,4375,4193,4177
"ER3 Turku University Hospital specific catchment area","6",9597,9288,9149,8964,9072,8715,4896,4757,4667,4526,4685,4518,4701,4531,4482,4438,4387,4197
"ER3 Turku University Hospital specific catchment area","7",9432,9643,9327,9174,9015,9129,4826,4912,4781,4686,4549,4701,4606,4731,4546,4488,4466,4428
"ER3 Turku University Hospital specific catchment area","8",9290,9472,9693,9355,9202,9063,4810,4833,4928,4796,4699,4572,4480,4639,4765,4559,4503,4491
"ER3 Turku University Hospital specific catchment area","9",9182,9309,9515,9734,9398,9236,4665,4817,4865,4952,4831,4713,4517,4492,4650,4782,4567,4523
"ER3 Turku University Hospital specific catchment area","10",9259,9185,9335,9528,9775,9426,4701,4664,4832,4867,4979,4844,4558,4521,4503,4661,4796,4582
"ER3 Turku University Hospital specific catchment area","11",9019,9329,9225,9356,9557,9796,4609,4733,4675,4850,4883,5004,4410,4596,4550,4506,4674,4792
"ER3 Turku University Hospital specific catchment area","12",9225,9031,9361,9254,9397,9577,4770,4620,4748,4694,4851,4893,4455,4411,4613,4560,4546,4684
"ER3 Turku University Hospital specific catchment area","13",9026,9241,9060,9378,9289,9415,4666,4778,4640,4756,4705,4868,4360,4463,4420,4622,4584,4547
"ER3 Turku University Hospital specific catchment area","14",9002,9045,9246,9068,9410,9307,4646,4677,4785,4656,4774,4714,4356,4368,4461,4412,4636,4593
"ER3 Turku University Hospital specific catchment area","15",8933,9019,9057,9260,9089,9441,4609,4658,4687,4792,4673,4801,4324,4361,4370,4468,4416,4640
"ER3 Turku University Hospital specific catchment area","16",9227,8931,9032,9071,9243,9085,4815,4609,4666,4708,4801,4692,4412,4322,4366,4363,4442,4393
"ER3 Turku University Hospital specific catchment area","17",9535,9244,8935,9040,9102,9250,4897,4829,4630,4681,4724,4803,4638,4415,4305,4359,4378,4447
"ER3 Tampere University Hospital specific catchment area","0",8524,8092,7474,7241,7123,7760,4298,4120,3913,3653,3665,3980,4226,3972,3561,3588,3458,3780
"ER3 Tampere University Hospital specific catchment area","1",9083,8554,8129,7584,7311,7204,4657,4324,4135,3972,3700,3694,4426,4230,3994,3612,3611,3510
"ER3 Tampere University Hospital specific catchment area","2",9390,9076,8597,8151,7639,7384,4859,4647,4362,4139,4008,3728,4531,4429,4235,4012,3631,3656
"ER3 Tampere University Hospital specific catchment area","3",9640,9418,9146,8688,8182,7666,5005,4880,4694,4408,4151,4029,4635,4538,4452,4280,4031,3637
"ER3 Tampere University Hospital specific catchment area","4",10231,9659,9416,9182,8701,8245,5267,5013,4894,4730,4409,4186,4964,4646,4522,4452,4292,4059
"ER3 Tampere University Hospital specific catchment area","5",10072,10286,9702,9462,9247,8746,5061,5283,5020,4926,4761,4422,5011,5003,4682,4536,4486,4324
"ER3 Tampere University Hospital specific catchment area","6",10155,10094,10310,9728,9513,9312,5136,5066,5308,5029,4949,4789,5019,5028,5002,4699,4564,4523
"ER3 Tampere University Hospital specific catchment area","7",10404,10172,10126,10348,9793,9560,5336,5144,5080,5312,5063,4976,5068,5028,5046,5036,4730,4584
"ER3 Tampere University Hospital specific catchment area","8",10281,10407,10188,10145,10387,9838,5169,5345,5170,5096,5341,5092,5112,5062,5018,5049,5046,4746
"ER3 Tampere University Hospital specific catchment area","9",10109,10306,10436,10210,10175,10412,5309,5183,5359,5183,5120,5352,4800,5123,5077,5027,5055,5060
"ER3 Tampere University Hospital specific catchment area","10",10116,10133,10326,10468,10232,10237,5136,5318,5196,5382,5185,5145,4980,4815,5130,5086,5047,5092
"ER3 Tampere University Hospital specific catchment area","11",9896,10128,10157,10340,10491,10250,4982,5160,5340,5202,5392,5196,4914,4968,4817,5138,5099,5054
"ER3 Tampere University Hospital specific catchment area","12",10012,9934,10142,10191,10353,10514,5092,5009,5152,5354,5208,5413,4920,4925,4990,4837,5145,5101
"ER3 Tampere University Hospital specific catchment area","13",9673,10073,9982,10141,10236,10386,4914,5130,5031,5148,5375,5220,4759,4943,4951,4993,4861,5166
"ER3 Tampere University Hospital specific catchment area","14",9474,9674,10068,10009,10166,10272,4875,4906,5136,5046,5164,5400,4599,4768,4932,4963,5002,4872
"ER3 Tampere University Hospital specific catchment area","15",9689,9504,9670,10083,10011,10181,4974,4895,4908,5145,5058,5171,4715,4609,4762,4938,4953,5010
"ER3 Tampere University Hospital specific catchment area","16",9718,9718,9553,9722,10131,10072,4974,4992,4921,4929,5160,5070,4744,4726,4632,4793,4971,5002
"ER3 Tampere University Hospital specific catchment area","17",9912,9752,9716,9571,9744,10188,5062,4992,4978,4928,4939,5204,4850,4760,4738,4643,4805,4984
"ER4 Kuopio University Hospital specific catchment area","0",7078,6551,6188,5753,5812,6054,3540,3331,3286,2860,2958,3146,3538,3220,2902,2893,2854,2908
"ER4 Kuopio University Hospital specific catchment area","1",7489,7116,6558,6190,5767,5883,3779,3566,3328,3285,2861,3006,3710,3550,3230,2905,2906,2877
"ER4 Kuopio University Hospital specific catchment area","2",7875,7530,7124,6547,6206,5798,3938,3816,3569,3328,3311,2880,3937,3714,3555,3219,2895,2918
"ER4 Kuopio University Hospital specific catchment area","3",7988,7883,7562,7114,6597,6252,4089,3943,3819,3568,3359,3324,3899,3940,3743,3546,3238,2928
"ER4 Kuopio University Hospital specific catchment area","4",8207,8017,7885,7590,7136,6634,4083,4104,3945,3828,3568,3372,4124,3913,3940,3762,3568,3262
"ER4 Kuopio University Hospital specific catchment area","5",8455,8185,8029,7906,7629,7218,4346,4068,4109,3945,3846,3623,4109,4117,3920,3961,3783,3595
"ER4 Kuopio University Hospital specific catchment area","6",8468,8456,8197,8062,7929,7653,4330,4341,4069,4132,3953,3860,4138,4115,4128,3930,3976,3793
"ER4 Kuopio University Hospital specific catchment area","7",8456,8478,8472,8198,8085,7978,4344,4350,4354,4068,4149,3962,4112,4128,4118,4130,3936,4016
"ER4 Kuopio University Hospital specific catchment area","8",8301,8465,8486,8498,8223,8100,4262,4350,4353,4370,4070,4148,4039,4115,4133,4128,4153,3952
"ER4 Kuopio University Hospital specific catchment area","9",8309,8275,8490,8496,8526,8255,4284,4248,4364,4366,4385,4089,4025,4027,4126,4130,4141,4166
"ER4 Kuopio University Hospital specific catchment area","10",8541,8308,8275,8502,8501,8554,4370,4282,4245,4371,4371,4402,4171,4026,4030,4131,4130,4152
"ER4 Kuopio University Hospital specific catchment area","11",8354,8555,8326,8270,8522,8510,4287,4380,4288,4241,4380,4367,4067,4175,4038,4029,4142,4143
"ER4 Kuopio University Hospital specific catchment area","12",8346,8368,8560,8330,8276,8552,4274,4298,4387,4289,4246,4377,4072,4070,4173,4041,4030,4175
"ER4 Kuopio University Hospital specific catchment area","13",8349,8327,8361,8548,8346,8281,4219,4264,4291,4376,4295,4253,4130,4063,4070,4172,4051,4028
"ER4 Kuopio University Hospital specific catchment area","14",8201,8343,8345,8365,8574,8341,4211,4228,4270,4289,4389,4306,3990,4115,4075,4076,4185,4035
"ER4 Kuopio University Hospital specific catchment area","15",8498,8191,8353,8352,8382,8589,4331,4207,4235,4271,4300,4393,4167,3984,4118,4081,4082,4196
"ER4 Kuopio University Hospital specific catchment area","16",8572,8486,8168,8356,8378,8395,4428,4340,4200,4241,4283,4312,4144,4146,3968,4115,4095,4083
"ER4 Kuopio University Hospital specific catchment area","17",8736,8570,8477,8170,8395,8403,4501,4438,4355,4206,4269,4301,4235,4132,4122,3964,4126,4102
"ER5 Oulu University Hospital specific catchment area","0",7740,7339,6775,6418,6735,6818,3888,3731,3445,3251,3404,3473,3852,3608,3330,3167,3331,3345
"ER5 Oulu University Hospital specific catchment area","1",8098,7770,7368,6823,6498,6794,4178,3896,3752,3451,3293,3419,3920,3874,3616,3372,3205,3375
"ER5 Oulu University Hospital specific catchment area","2",8726,8135,7777,7400,6883,6538,4472,4191,3892,3763,3484,3305,4254,3944,3885,3637,3399,3233
"ER5 Oulu University Hospital specific catchment area","3",9015,8759,8155,7786,7433,6941,4635,4480,4214,3895,3782,3525,4380,4279,3941,3891,3651,3416
"ER5 Oulu University Hospital specific catchment area","4",9318,9009,8769,8141,7827,7482,4777,4638,4475,4206,3926,3812,4541,4371,4294,3935,3901,3670
"ER5 Oulu University Hospital specific catchment area","5",9359,9353,9023,8821,8172,7856,4694,4791,4656,4497,4230,3950,4665,4562,4367,4324,3942,3906
"ER5 Oulu University Hospital specific catchment area","6",9544,9393,9345,9052,8846,8225,4944,4712,4789,4659,4495,4250,4600,4681,4556,4393,4351,3975
"ER5 Oulu University Hospital specific catchment area","7",9658,9564,9423,9373,9071,8891,4880,4961,4723,4792,4672,4538,4778,4603,4700,4581,4399,4353
"ER5 Oulu University Hospital specific catchment area","8",9419,9665,9591,9426,9406,9111,4835,4870,4972,4719,4806,4693,4584,4795,4619,4707,4600,4418
"ER5 Oulu University Hospital specific catchment area","9",9363,9440,9645,9601,9437,9463,4768,4852,4856,4967,4725,4832,4595,4588,4789,4634,4712,4631
"ER5 Oulu University Hospital specific catchment area","10",9221,9368,9472,9654,9588,9472,4721,4779,4868,4868,4965,4744,4500,4589,4604,4786,4623,4728
"ER5 Oulu University Hospital specific catchment area","11",9219,9227,9366,9470,9677,9635,4662,4726,4778,4874,4883,4999,4557,4501,4588,4596,4794,4636
"ER5 Oulu University Hospital specific catchment area","12",8994,9220,9243,9376,9495,9712,4672,4658,4737,4782,4888,4894,4322,4562,4506,4594,4607,4818
"ER5 Oulu University Hospital specific catchment area","13",8916,8968,9211,9257,9377,9511,4571,4660,4661,4747,4792,4893,4345,4308,4550,4510,4585,4618
"ER5 Oulu University Hospital specific catchment area","14",8770,8900,8974,9224,9253,9392,4570,4572,4655,4659,4742,4793,4200,4328,4319,4565,4511,4599
"ER5 Oulu University Hospital specific catchment area","15",8661,8769,8906,8954,9223,9269,4357,4576,4567,4648,4654,4751,4304,4193,4339,4306,4569,4518
"ER5 Oulu University Hospital specific catchment area","16",8836,8615,8722,8861,8916,9221,4630,4340,4566,4562,4637,4679,4206,4275,4156,4299,4279,4542
"ER5 Oulu University Hospital specific catchment area","17",8861,8788,8589,8710,8839,8924,4699,4609,4325,4561,4556,4646,4162,4179,4264,4149,4283,4278
"ER6 Åland","0",294,289,286,270,267,297,149,148,154,135,132,141,145,141,132,135,135,156
"ER6 Åland","1",294,308,296,288,278,273,147,155,151,157,140,136,147,153,145,131,138,137
"ER6 Åland","2",309,306,334,301,294,287,157,157,170,156,157,146,152,149,164,145,137,141
"ER6 Åland","3",318,320,315,330,310,298,164,163,160,167,156,159,154,157,155,163,154,139
"ER6 Åland","4",322,323,338,325,343,314,158,170,171,167,174,159,164,153,167,158,169,155
"ER6 Åland","5",320,326,338,346,328,348,154,162,178,176,170,174,166,164,160,170,158,174
"ER6 Åland","6",327,332,341,344,356,341,160,161,174,180,182,176,167,171,167,164,174,165
"ER6 Åland","7",310,331,341,341,350,356,172,160,169,173,182,180,138,171,172,168,168,176
"ER6 Åland","8",335,309,344,349,347,359,171,174,164,174,174,187,164,135,180,175,173,172
"ER6 Åland","9",336,339,317,346,355,345,171,173,177,162,177,174,165,166,140,184,178,171
"ER6 Åland","10",348,339,345,322,354,360,183,173,179,182,165,179,165,166,166,140,189,181
"ER6 Åland","11",315,354,340,352,327,356,158,189,173,179,184,166,157,165,167,173,143,190
"ER6 Åland","12",328,315,356,349,357,330,175,159,189,179,182,186,153,156,167,170,175,144
"ER6 Åland","13",318,333,321,358,355,362,167,176,162,190,180,183,151,157,159,168,175,179
"ER6 Åland","14",305,318,341,321,353,359,153,166,179,159,187,181,152,152,162,162,166,178
"ER6 Åland","15",318,304,324,345,326,354,169,151,171,180,162,188,149,153,153,165,164,166
"ER6 Åland","16",306,319,306,318,338,325,174,168,154,168,178,160,132,151,152,150,160,165
"ER6 Åland","17",332,303,319,305,317,340,177,173,163,152,167,180,155,130,156,153,150,160
