"11re -- Population according to age (1-year) and sex by area, 1972-2020"

"Area","Age","Total 2016 Population 31 Dec","Total 2017 Population 31 Dec","Total 2018 Population 31 Dec","Total 2019 Population 31 Dec","Total 2020 Population 31 Dec","Males 2016 Population 31 Dec","Males 2017 Population 31 Dec","Males 2018 Population 31 Dec","Males 2019 Population 31 Dec","Males 2020 Population 31 Dec","Females 2016 Population 31 Dec","Females 2017 Population 31 Dec","Females 2018 Population 31 Dec","Females 2019 Population 31 Dec","Females 2020 Population 31 Dec"
"WHOLE COUNTRY","0",53155,50588,47663,45746,46524,26996,25816,24663,23250,23806,26159,24772,23000,22496,22718
"WHOLE COUNTRY","1",55856,53542,50934,48090,46120,28668,27196,25996,24875,23459,27188,26346,24938,23215,22661
"WHOLE COUNTRY","2",58331,56167,53817,51271,48387,29840,28828,27329,26172,25012,28491,27339,26488,25099,23375
"WHOLE COUNTRY","3",59315,58598,56444,54114,51555,30471,29975,28987,27485,26298,28844,28623,27457,26629,25257
"WHOLE COUNTRY","4",60880,59615,58828,56703,54406,31066,30644,30082,29102,27634,29814,28971,28746,27601,26772
"WHOLE COUNTRY","5",61373,61137,59868,59068,56983,31282,31194,30769,30190,29241,30091,29943,29099,28878,27742
"WHOLE COUNTRY","6",62645,61644,61378,60087,59376,32100,31422,31311,30883,30326,30545,30222,30067,29204,29050
"WHOLE COUNTRY","7",62280,62914,61893,61642,60335,31791,32250,31546,31432,31014,30489,30664,30347,30210,29321
"WHOLE COUNTRY","8",61616,62525,63132,62121,61874,31465,31895,32363,31673,31549,30151,30630,30769,30448,30325
"WHOLE COUNTRY","9",60983,61844,62739,63369,62382,31272,31582,32016,32476,31804,29711,30262,30723,30893,30578
"WHOLE COUNTRY","10",61176,61192,62026,62943,63599,31253,31362,31674,32120,32599,29923,29830,30352,30823,31000
"WHOLE COUNTRY","11",59882,61417,61379,62215,63170,30454,31386,31451,31792,32257,29428,30031,29928,30423,30913
"WHOLE COUNTRY","12",59999,60058,61590,61565,62420,30789,30557,31464,31546,31895,29210,29501,30126,30019,30525
"WHOLE COUNTRY","13",58865,60180,60193,61770,61773,29950,30889,30624,31553,31638,28915,29291,29569,30217,30135
"WHOLE COUNTRY","14",57822,59003,60350,60332,61957,29673,30036,30969,30701,31642,28149,28967,29381,29631,30315
"WHOLE COUNTRY","15",58325,57980,59122,60472,60495,29803,29758,30095,31040,30796,28522,28222,29027,29432,29699
"WHOLE COUNTRY","16",59168,58504,58107,59310,60658,30586,29910,29833,30198,31133,28582,28594,28274,29112,29525
"WHOLE COUNTRY","17",60234,59353,58628,58239,59512,31023,30701,29982,29903,30309,29211,28652,28646,28336,29203
"MA1 MAINLAND FINLAND","0",52861,50299,47377,45476,46257,26847,25668,24509,23115,23674,26014,24631,22868,22361,22583
"MA1 MAINLAND FINLAND","1",55562,53234,50638,47802,45842,28521,27041,25845,24718,23319,27041,26193,24793,23084,22523
"MA1 MAINLAND FINLAND","2",58022,55861,53483,50970,48093,29683,28671,27159,26016,24855,28339,27190,26324,24954,23238
"MA1 MAINLAND FINLAND","3",58997,58278,56129,53784,51245,30307,29812,28827,27318,26142,28690,28466,27302,26466,25103
"MA1 MAINLAND FINLAND","4",60558,59292,58490,56378,54063,30908,30474,29911,28935,27460,29650,28818,28579,27443,26603
"MA1 MAINLAND FINLAND","5",61053,60811,59530,58722,56655,31128,31032,30591,30014,29071,29925,29779,28939,28708,27584
"MA1 MAINLAND FINLAND","6",62318,61312,61037,59743,59020,31940,31261,31137,30703,30144,30378,30051,29900,29040,28876
"MA1 MAINLAND FINLAND","7",61970,62583,61552,61301,59985,31619,32090,31377,31259,30832,30351,30493,30175,30042,29153
"MA1 MAINLAND FINLAND","8",61281,62216,62788,61772,61527,31294,31721,32199,31499,31375,29987,30495,30589,30273,30152
"MA1 MAINLAND FINLAND","9",60647,61505,62422,63023,62027,31101,31409,31839,32314,31627,29546,30096,30583,30709,30400
"MA1 MAINLAND FINLAND","10",60828,60853,61681,62621,63245,31070,31189,31495,31938,32434,29758,29664,30186,30683,30811
"MA1 MAINLAND FINLAND","11",59567,61063,61039,61863,62843,30296,31197,31278,31613,32073,29271,29866,29761,30250,30770
"MA1 MAINLAND FINLAND","12",59671,59743,61234,61216,62063,30614,30398,31275,31367,31713,29057,29345,29959,29849,30350
"MA1 MAINLAND FINLAND","13",58547,59847,59872,61412,61418,29783,30713,30462,31363,31458,28764,29134,29410,30049,29960
"MA1 MAINLAND FINLAND","14",57517,58685,60009,60011,61604,29520,29870,30790,30542,31455,27997,28815,29219,29469,30149
"MA1 MAINLAND FINLAND","15",58007,57676,58798,60127,60169,29634,29607,29924,30860,30634,28373,28069,28874,29267,29535
"MA1 MAINLAND FINLAND","16",58862,58185,57801,58992,60320,30412,29742,29679,30030,30955,28450,28443,28122,28962,29365
"MA1 MAINLAND FINLAND","17",59902,59050,58309,57934,59195,30846,30528,29819,29751,30142,29056,28522,28490,28183,29053
"ER1 Helsinki University Hospital specific catchment area","0",21446,20561,19721,19152,19550,11088,10550,10127,9761,10005,10358,10011,9594,9391,9545
"ER1 Helsinki University Hospital specific catchment area","1",22345,21677,20801,19948,19298,11502,11206,10683,10253,9850,10843,10471,10118,9695,9448
"ER1 Helsinki University Hospital specific catchment area","2",23057,22492,21842,21047,20073,11787,11559,11278,10810,10278,11270,10933,10564,10237,9795
"ER1 Helsinki University Hospital specific catchment area","3",23459,23213,22631,22013,21156,12097,11868,11617,11369,10849,11362,11345,11014,10644,10307
"ER1 Helsinki University Hospital specific catchment area","4",23741,23678,23367,22819,22140,12152,12228,11925,11682,11440,11589,11450,11442,11137,10700
