area,year,gender,age_group,n_at_risk
ER1 Helsinki University Hospital specific catchment area,2016,Females,0-12,148291
ER1 Helsinki University Hospital specific catchment area,2016,Females,13-17,55000
ER1 Helsinki University Hospital specific catchment area,2016,Males,0-12,155778
ER1 Helsinki University Hospital specific catchment area,2016,Males,13-17,57246
ER1 Helsinki University Hospital specific catchment area,2016,Total,0-12,304069
ER1 Helsinki University Hospital specific catchment area,2016,Total,13-17,112246
ER1 Helsinki University Hospital specific catchment area,2017,Females,0-12,148013
ER1 Helsinki University Hospital specific catchment area,2017,Females,13-17,55525
ER1 Helsinki University Hospital specific catchment area,2017,Males,0-12,155549
ER1 Helsinki University Hospital specific catchment area,2017,Males,13-17,57760
ER1 Helsinki University Hospital specific catchment area,2017,Total,0-12,303562
ER1 Helsinki University Hospital specific catchment area,2017,Total,13-17,113285
ER1 Helsinki University Hospital specific catchment area,2018,Females,0-12,147123
ER1 Helsinki University Hospital specific catchment area,2018,Females,13-17,56197
ER1 Helsinki University Hospital specific catchment area,2018,Males,0-12,154654
ER1 Helsinki University Hospital specific catchment area,2018,Males,13-17,58167
ER1 Helsinki University Hospital specific catchment area,2018,Total,0-12,301777
ER1 Helsinki University Hospital specific catchment area,2018,Total,13-17,114364
ER1 Helsinki University Hospital specific catchment area,2019,Females,0-12,145786
ER1 Helsinki University Hospital specific catchment area,2019,Females,13-17,57139
ER1 Helsinki University Hospital specific catchment area,2019,Males,0-12,153110
ER1 Helsinki University Hospital specific catchment area,2019,Males,13-17,59197
ER1 Helsinki University Hospital specific catchment area,2019,Total,0-12,298896
ER1 Helsinki University Hospital specific catchment area,2019,Total,13-17,116336
ER1 Helsinki University Hospital specific catchment area,2020,Females,0-12,144268
ER1 Helsinki University Hospital specific catchment area,2020,Females,13-17,58248
ER1 Helsinki University Hospital specific catchment area,2020,Males,0-12,151632
ER1 Helsinki University Hospital specific catchment area,2020,Males,13-17,60354
ER1 Helsinki University Hospital specific catchment area,2020,Total,0-12,295900
ER1 Helsinki University Hospital specific catchment area,2020,Total,13-17,118602
ER3 Tampere University Hospital specific catchment area,2016,Females,0-12,62606
ER3 Tampere University Hospital specific catchment area,2016,Females,13-17,23667
ER3 Tampere University Hospital specific catchment area,2016,Males,0-12,65307
ER3 Tampere University Hospital specific catchment area,2016,Males,13-17,24799
ER3 Tampere University Hospital specific catchment area,2016,Total,0-12,127913
ER3 Tampere University Hospital specific catchment area,2016,Total,13-17,48466
ER3 Tampere University Hospital specific catchment area,2017,Females,0-12,61767
ER3 Tampere University Hospital specific catchment area,2017,Females,13-17,23806
ER3 Tampere University Hospital specific catchment area,2017,Males,0-12,64492
ER3 Tampere University Hospital specific catchment area,2017,Males,13-17,24915
ER3 Tampere University Hospital specific catchment area,2017,Total,0-12,126259
ER3 Tampere University Hospital specific catchment area,2017,Total,13-17,48721
ER3 Tampere University Hospital specific catchment area,2018,Females,0-12,60526
ER3 Tampere University Hospital specific catchment area,2018,Females,13-17,24015
ER3 Tampere University Hospital specific catchment area,2018,Males,0-12,63623
ER3 Tampere University Hospital specific catchment area,2018,Males,13-17,24974
ER3 Tampere University Hospital specific catchment area,2018,Total,0-12,124149
ER3 Tampere University Hospital specific catchment area,2018,Total,13-17,48989
